cv_id,vacancy_id,ideal_score,split_score,mono_score,split_abs_dev,mono_abs_dev,ideal_verdict,split_verdict,mono_verdict,split_miss_jac,mono_miss_jac
yan_pm,f942bb39-7ba8-4b1e-ba34-8211b7f37205,0.575,0.575,0.5025,0.0,0.0725,Partial,Partial,Partial,0.0833,0.0
yan_pm,9a897ce1-5611-457b-8528-44b176fd3cab,0.6083,0.5514,0.24,0.0569,0.3683,Partial,Partial,Mismatch,0.1053,0.0769
yan_pm,9e813597-60d6-4aa0-aba1-ed85d9a0f957,0.62,0.5413,0.405,0.0787,0.215,Partial,Partial,Weak,0.1053,0.0
yan_pm,16899fdd-9080-444d-b6f1-0f84a096a608,0.65,0.65,0.405,0.0,0.245,Partial,Partial,Weak,0.1111,0.0
yan_pm,e5eb8f2f-3507-4ada-9f8a-3a34f4d4afa8,0.65,0.65,0.5025,0.0,0.1475,Partial,Partial,Partial,0.1053,0.0556
yan_pm,f0b686ec-6f37-42c7-9f30-954845668593,0.6157,0.5514,0.495,0.0643,0.1207,Partial,Partial,Weak,0.2,0.0
yan_pm,c3b4a29b-0ab4-4d8c-b117-6294d2dc7241,0.53,0.5373,0.22,0.0073,0.31,Partial,Partial,Mismatch,0.0682,0.0
yan_pm,0806777a-efc2-420b-9295-44b1de798eb9,0.4631,0.5381,0.22,0.075,0.2431,Weak,Partial,Mismatch,0.0769,0.0
yan_pm,00d0ccdb-07a0-49a3-a691-efa93961fa2c,0.25,0.55,0.3075,0.3,0.0575,Mismatch,Partial,Weak,0.2632,0.1667
yan_pm,6148a8b1-eb6b-4744-9c14-45672c0654ee,0.5367,0.5467,0.34,0.01,0.1967,Partial,Partial,Weak,0.0909,0.0476
yan_pm,99e2c825-164a-4a60-9100-b16472b835e5,0.53,0.53,0.3,0.0,0.23,Partial,Partial,Weak,0.5385,0.0
yan_pm,281c16e7-f1cf-497a-af62-cd4222f2466c,0.59,0.53,0.24,0.06,0.35,Partial,Partial,Mismatch,0.0714,0.0
yan_pm,935c9d55-90ee-4e4c-9c70-e429bb4d3890,0.605,0.5825,0.33,0.0225,0.275,Partial,Partial,Weak,0.5263,0.3333
yan_pm,9e33aa4f-afc6-4c49-89e8-e4baeab80332,0.575,0.65,0.5025,0.075,0.0725,Partial,Partial,Partial,0.3333,0.3333
yan_pm,e2f70a9d-aa26-4c66-a12f-53f0960d17f9,0.5729,0.5709,0.225,0.0019,0.3479,Partial,Partial,Mismatch,0.1905,0.0
yan_pm,1f3b8b6e-c937-4511-8f1f-30c4df4f4fec,0.5,0.55,0.3075,0.05,0.1925,Weak,Partial,Weak,0.0385,0.0714
yan_pm,a7d2295c-6344-421c-a07b-0e2d8ffb3877,0.44,0.5467,0.33,0.1067,0.11,Weak,Partial,Weak,0.0476,0.0
yan_pm,7efc4977-6826-4062-a7c1-7eb13c489a0f,0.4973,0.55,0.22,0.0527,0.2773,Weak,Partial,Mismatch,0.2,0.0714
yan_pm,34dbdcad-a90b-4d99-b483-20700560429c,0.555,0.5403,0.24,0.0147,0.315,Partial,Partial,Mismatch,0.2188,0.0
yan_pm,e7009e48-85a2-4062-9edb-2e6a02878203,0.47,0.53,0.225,0.06,0.245,Weak,Partial,Mismatch,0.1,0.0
yan_pm,2ca61d84-5691-41a7-a4e8-b2601e8f3458,0.52,0.47,0.495,0.05,0.025,Partial,Weak,Weak,0.0909,0.0
yan_pm,4d925c65-1549-445e-887c-cfb20ea016c0,0.53,0.6907,0.49,0.1607,0.04,Partial,Partial,Weak,0.2222,0.0
yan_pm,2bb764c0-e55e-4503-8362-2f8db87893e2,0.52,0.565,0.135,0.045,0.385,Partial,Partial,Mismatch,0.3333,0.2857
yan_pm,42e4f9fa-92a9-4737-a60e-53217f66e5e6,0.53,0.53,0.225,0.0,0.305,Partial,Partial,Mismatch,0.0625,0.0
yan_pm,3c68ea65-1b7e-463b-ad7b-47c71597d77d,0.5325,0.5205,0.3075,0.012,0.225,Partial,Partial,Weak,0.2222,0.0714
yan_pm,17706215-f00e-48f6-852d-588f3b210bed,0.35,0.3517,0.2025,0.0017,0.1475,Weak,Weak,Mismatch,0.1538,0.1053
yan_pm,a16032ca-09f1-46c3-9343-980ff9f76911,0.47,0.47,0.225,0.0,0.245,Weak,Weak,Mismatch,0.0526,0.125
yan_pm,ea48f066-6a13-443f-b34c-263c386fd837,0.395,0.2926,0.22,0.1024,0.175,Weak,Weak,Mismatch,0.0952,0.0909
yan_pm,68d01dc6-4a27-492f-b4a9-ee35fd647be4,0.5075,0.5075,0.225,0.0,0.2825,Partial,Partial,Mismatch,0.125,0.1111
yan_pm,03019334-1f10-4736-a42a-009422d3ff61,0.5033,0.4843,0.22,0.019,0.2833,Partial,Weak,Mismatch,0.2174,0.2667
4_senior_product_manager,60349f54-8bc7-4a4f-bd20-185d8267483e,0.605,0.605,0.495,0.0,0.11,Partial,Partial,Weak,0.04,0.1429
4_senior_product_manager,1e9c93ce-886a-4f5d-902d-7058ada55541,0.665,0.6383,0.63,0.0267,0.035,Partial,Partial,Partial,0.0667,0.0
4_senior_product_manager,935c9d55-90ee-4e4c-9c70-e429bb4d3890,0.6764,0.6725,0.705,0.0039,0.0286,Partial,Partial,Partial,0.5294,0.3077
4_senior_product_manager,eed0122a-4452-438f-bf05-a25257066b12,0.605,0.925,0.505,0.32,0.1,Partial,Strong,Partial,0.0,0.0
4_senior_product_manager,b241fdec-2364-4385-9461-a14c9d278979,0.655,0.655,0.6,0.0,0.055,Partial,Partial,Partial,0.0909,0.0
4_senior_product_manager,281c16e7-f1cf-497a-af62-cd4222f2466c,0.605,0.605,0.705,0.0,0.1,Partial,Partial,Partial,0.0667,0.0
4_senior_product_manager,97a559d9-5f2b-4e4c-a4ee-9c937cfa7639,0.655,0.131,0.58,0.524,0.075,Partial,Mismatch,Partial,0.0323,0.0
